"Index","Value"
2017-06-02 02:05:00,100.4427932
2017-06-02 02:15:00,100.4974084
2017-06-02 02:25:00,100.542189
2017-06-02 02:35:00,100.5933284
2017-06-02 02:45:00,100.6247245
2017-06-02 02:55:00,100.679119
2017-06-02 03:05:00,100.712357222222
2017-06-02 03:15:00,100.748928
2017-06-02 03:25:00,100.78336345
2017-06-02 03:35:00,100.8130193
2017-06-02 03:45:00,100.84007425
2017-06-02 03:55:00,100.85815825
2017-06-02 04:05:00,100.8747986
2017-06-02 04:15:00,100.8852141
2017-06-02 04:25:00,100.89541225
2017-06-02 04:35:00,100.8950523
2017-06-02 04:45:00,100.89136365
2017-06-02 04:55:00,100.8807284
2017-06-02 05:05:00,100.86980445
2017-06-02 05:15:00,100.8457161
2017-06-02 05:25:00,100.8167082
2017-06-02 05:35:00,100.7879905
2017-06-02 05:45:00,100.7460365
2017-06-02 05:55:00,100.7053064
2017-06-02 06:05:00,100.6658843
2017-06-02 06:15:00,100.6166235
2017-06-02 06:25:00,100.56482875
2017-06-02 06:35:00,100.5148445
2017-06-02 06:45:00,100.444746
2017-06-02 06:55:00,100.37928175
2017-06-02 07:05:00,100.3128044
2017-06-02 07:15:00,100.25623525
2017-06-02 07:25:00,100.190987
2017-06-02 07:35:00,100.114164
2017-06-02 07:45:00,100.01614575
2017-06-02 07:55:00,99.9324487
2017-06-02 08:05:00,99.87356695
2017-06-02 08:15:00,99.7850245
2017-06-02 08:25:00,99.7098648
2017-06-02 08:35:00,99.64505
2017-06-02 08:45:00,99.54161075
2017-06-02 08:55:00,99.47672095
2017-06-02 09:05:00,99.4119788
2017-06-02 09:15:00,99.34629625
2017-06-02 09:25:00,99.2994225
2017-06-02 09:35:00,99.23916365
2017-06-02 09:45:00,99.18317225
2017-06-02 09:55:00,99.144472
2017-06-02 10:05:00,99.088049
2017-06-02 10:15:00,99.067216
2017-06-02 10:25:00,99.0233801
2017-06-02 10:35:00,99.0074649
2017-06-02 10:45:00,98.9682563
2017-06-02 10:55:00,98.95458825
2017-06-02 11:05:00,98.9491607
2017-06-02 11:15:00,98.9274575
2017-06-02 11:25:00,98.929266
2017-06-02 11:35:00,98.9340386
2017-06-02 11:45:00,98.94850995
2017-06-02 11:55:00,98.9701385
2017-06-02 12:05:00,98.9997976
2017-06-02 12:15:00,99.02583875
2017-06-02 12:25:00,99.0229455
2017-06-02 12:35:00,99.0897851
2017-06-02 12:45:00,99.126386
2017-06-02 12:55:00,99.1566964
2017-06-02 13:05:00,99.20885425
2017-06-02 13:15:00,99.26433815
2017-06-02 13:25:00,99.33182725
2017-06-02 13:35:00,99.3840545
2017-06-02 13:45:00,99.42854515
2017-06-02 13:55:00,99.5076085
2017-06-02 14:05:00,99.57061665
2017-06-02 14:15:00,99.6329712
2017-06-02 14:25:00,99.6960485
2017-06-02 14:35:00,99.748131
2017-06-02 14:45:00,99.80238605
2017-06-02 14:55:00,99.8606185
2017-06-02 15:05:00,99.88637125
2017-06-02 15:15:00,99.93584925
2017-06-02 15:25:00,99.9897423
2017-06-02 15:35:00,100.06128385
2017-06-02 15:45:00,100.13217505
2017-06-02 15:55:00,100.18773155
2017-06-02 16:05:00,100.243288
2017-06-02 16:15:00,100.29631
2017-06-02 16:25:00,100.3402195
2017-06-02 16:35:00,100.390858
2017-06-02 16:45:00,100.4266632
2017-06-02 16:55:00,100.4624702
2017-06-02 17:05:00,100.49429725
2017-06-02 17:15:00,100.5265623
2017-06-02 17:25:00,100.55831725
2017-06-02 17:35:00,100.5767656
2017-06-02 17:45:00,100.6039611
